Date,Open,High,Low,Close
27-November-2007,19128.86,19211.58,19019.33,19127.73,
28-November-2007,19316.76,19316.76,18884.20,18938.87,
29-November-2007,19290.67,19297.01,18930.31,19003.26,
30-November-2007,19136.12,19424.99,19006.89,19363.19,
3-December-2007,19547.09,19619.44,19446.68,19603.41,
4-December-2007,19707.59,19707.86,19482.34,19529.50,
5-December-2007,19628.85,19790.92,19560.68,19738.07,
6-December-2007,20018.17,20064.31,19716.57,19795.87,
7-December-2007,20063.50,20094.56,19706.43,19966.00,
10-December-2007,20074.92,20095.69,19834.01,19930.68,
11-December-2007,20049.35,20333.06,20019.34,20290.89,
12-December-2007,20197.44,20419.11,20045.42,20375.87,
13-December-2007,20498.11,20498.11,20065.63,20104.39,
14-December-2007,20108.09,20171.57,19936.49,20030.83,
17-December-2007,20032.67,20032.67,19177.19,19261.35,
18-December-2007,19339.14,19375.07,19009.35,19079.64,
19-December-2007,19255.39,19397.76,18886.40,19091.96,
20-December-2007,19210.22,19291.14,19097.70,19162.57,
24-December-2007,19308.20,19879.00,19308.20,19854.12,
26-December-2007,19940.96,20211.47,19896.61,20192.52,
27-December-2007,20301.05,20323.76,20159.73,20216.72,
28-December-2007,20158.12,20259.45,20022.88,20206.95,
31-December-2007,20323.28,20484.28,20239.63,20286.99,
1-January-2008,20325.27,20394.89,20220.46,20300.71,
2-January-2008,20393.10,20529.48,20077.40,20465.30,
3-January-2008,20403.91,20519.70,20293.87,20345.20,
4-January-2008,20367.94,20762.80,20367.94,20686.89,
7-January-2008,20637.21,20861.83,20438.19,20812.65,
8-January-2008,20970.07,21077.53,20696.60,20873.33,
9-January-2008,20903.00,21113.13,20701.49,20869.78,
10-January-2008,20930.28,21206.77,20530.07,20582.08,
11-January-2008,20702.94,20894.79,20505.81,20827.45,
14-January-2008,20918.23,20985.62,20661.90,20728.05,
15-January-2008,20836.47,20872.93,20203.63,20251.09,
16-January-2008,20079.89,20079.89,19513.25,19868.11,
17-January-2008,19972.75,20026.12,19643.76,19700.82,
18-January-2008,19579.61,19715.78,18930.42,19013.70,
21-January-2008,18919.57,18919.57,16951.50,17605.35,
22-January-2008,16884.09,17068.57,15332.42,16729.94,
23-January-2008,17415.26,17997.11,16951.03,17594.07,
24-January-2008,17920.98,18185.10,17070.05,17221.74,
25-January-2008,17504.00,18406.25,17504.00,18361.66,
28-January-2008,18011.89,18213.21,17443.29,18152.78,
29-January-2008,18346.49,18491.06,17927.92,18091.94,
30-January-2008,18120.22,18129.18,17683.51,17758.64,
31-January-2008,17810.13,18008.71,17417.63,17648.71,
1-February-2008,17820.67,18312.40,17534.96,18242.58,
4-February-2008,18496.03,18895.34,18439.33,18660.32,
5-February-2008,18592.58,18729.83,18509.54,18663.16,
6-February-2008,18247.03,18274.15,17936.01,18139.49,
7-February-2008,18198.68,18198.68,17492.28,17526.93,
8-February-2008,17610.07,17688.73,17203.06,17464.89,
11-February-2008,17427.34,17427.34,16457.74,16630.91,
12-February-2008,16812.63,16966.72,16565.48,16608.01,
13-February-2008,16816.94,17141.06,16725.68,16949.14,
14-February-2008,17265.19,17838.08,17265.19,17766.63,
15-February-2008,17541.17,18142.92,17445.05,18115.25,
18-February-2008,18228.21,18256.82,17900.96,18048.05,
19-February-2008,18215.26,18314.10,18018.48,18075.66,
20-February-2008,17991.29,17991.29,17505.56,17617.60,
21-February-2008,17825.22,17911.66,17482.31,17734.68,
22-February-2008,17515.62,17526.80,17294.73,17349.07,
25-February-2008,17523.81,17674.06,17137.99,17650.57,
26-February-2008,17799.56,17860.10,17678.74,17806.19,
27-February-2008,17983.42,18137.28,17770.65,17825.99,
28-February-2008,17810.52,17921.51,17690.16,17824.48,
29-February-2008,17779.54,17779.54,17258.20,17578.72,
3-March-2008,17227.56,17227.56,16634.63,16677.88,
4-March-2008,16742.20,16754.06,16164.57,16339.89,
5-March-2008,16328.91,16595.64,16253.02,16542.08,
7-March-2008,16211.96,16211.96,15689.92,15975.52,
10-March-2008,15684.24,15998.33,15362.17,15923.72,
11-March-2008,15778.27,16168.13,15739.04,16123.15,
12-March-2008,16541.14,16683.37,16064.09,16127.98,
13-March-2008,15873.28,15873.28,15228.99,15357.35,
14-March-2008,15467.39,15798.42,15331.35,15760.52,
17-March-2008,15326.93,15326.93,14738.27,14809.49,
18-March-2008,14725.68,15169.61,14677.24,14833.46,
19-March-2008,15325.79,15465.81,14930.08,14994.83,
24-March-2008,15093.77,15351.31,15056.09,15289.40,
25-March-2008,15612.61,16262.38,15612.61,16217.49,
26-March-2008,16270.12,16309.88,16009.87,16086.83,
27-March-2008,15950.29,16111.44,15869.09,16015.56,
28-March-2008,16100.26,16452.08,15884.45,16371.29,
31-March-2008,16226.66,16226.66,15563.15,15644.44,
1-April-2008,15771.72,15834.05,15297.96,15626.62,
2-April-2008,16023.30,16236.70,15719.47,15750.40,
3-April-2008,15805.63,16002.73,15699.21,15832.55,
4-April-2008,15896.09,15896.09,15303.04,15343.12,
7-April-2008,15390.15,15851.88,15321.56,15757.08,
8-April-2008,15770.16,15770.40,15479.42,15587.62,
