Date,Open,High,Low,Close,Volume,Market Cap,,,
"Jun 10, 2017",282.01,350.26,282.01,337.67,"1,61,16,30,000","26,04,37,00,000",,,2.528492478
"Jun 09, 2017",261.75,282.76,261.75,281.74,"55,79,86,000","24,16,50,00,000",,,2.44984851
"Jun 08, 2017",257.99,262.25,253.98,261.67,"38,54,94,000","23,81,09,00,000",,,2.417753934
"Jun 07, 2017",264.26,264.67,254.04,258.07,"46,16,49,000","24,38,22,00,000",,,2.411737522
"Jun 06, 2017",248.6,267.51,246.84,264.47,"74,15,53,000","22,93,04,00,000",,,2.422376415
"Jun 05, 2017",245.26,249.47,243.05,248.46,"43,56,60,000","22,61,58,00,000",,,2.395256481
"Jun 04, 2017",224.12,250.41,223.98,245.33,"75,38,20,000","20,65,98,00,000",,,2.389750659
"Jun 03, 2017",223.46,225.97,219.42,224.38,"42,78,96,000","20,59,35,00,000",,,2.350984144
"Jun 02, 2017",222.29,229.41,219.58,223.78,"46,95,32,000","20,47,90,00,000",,,2.34982127
"Jun 01, 2017",230.89,236.22,214.48,222.24,"81,29,24,000","21,26,48,00,000",,,2.346822228
"May 31, 2017",231.58,236.97,215.57,230.67,"1,27,16,00,000","21,32,19,00,000",,,2.362991116
"May 30, 2017",195.61,233.71,189.29,231.91,"1,58,66,70,000","18,00,47,00,000",,,2.365319476
"May 29, 2017",170.14,197.13,164.53,194.91,"71,88,28,000","15,65,46,00,000",,,2.289834121
"May 28, 2017",158.82,179.94,157.6,170.51,"71,79,71,000","14,60,86,00,000",,,2.231749854
"May 27, 2017",159.82,166.95,120.44,157.76,"1,21,70,60,000","14,69,60,00,000",,,2.197996898
"May 26, 2017",175.22,193.69,150.28,160.4,"79,24,58,000","16,10,70,00,000",,,2.205204364
"May 25, 2017",189.85,210.98,170.51,174.45,"94,36,37,000","17,44,66,00,000",,,2.241670974
"May 24, 2017",182.65,228.37,182.45,190.05,"56,10,14,000","16,77,97,00,000",,,2.278867874
"May 23, 2017",170.82,183.55,169.93,181.95,"53,07,09,000","15,68,80,00,000",,,2.25995206
"May 22, 2017",158.17,201.75,152.47,174.26,"1,18,89,10,000","14,52,21,00,000",,,2.24119771
"May 21, 2017",127.54,159.03,125.89,157.94,"57,03,61,000","11,70,57,00,000",,,2.198492134
"May 20, 2017",129.22,133.64,124.7,126.52,"33,14,55,000","11,85,66,00,000",,,2.102159183
"May 19, 2017",97.05,133.56,97.05,129.53,"62,69,45,000","8,90,22,40,000",,,2.112370366
"May 18, 2017",89.84,97.37,89.84,96.91,"19,62,37,000","8,23,81,10,000",,,1.986368594
"May 17, 2017",89.25,91.27,84.43,89.86,"18,30,31,000","8,18,15,20,000",,,1.953566414
"May 16, 2017",92.39,93.56,89.12,89.44,"15,22,85,000","8,46,64,70,000",,,1.951531791
"May 15, 2017",90.78,95.43,86.83,92.41,"17,09,99,000","8,31,69,30,000",,,1.96571897
"May 14, 2017",90.87,91.25,89.61,90.79,"6,60,46,600","8,32,23,80,000",,,1.958038016
"May 13, 2017",88.69,93.81,86.66,90.84,"8,87,42,200","8,12,03,90,000",,,1.958277126
"May 12, 2017",89.43,93.12,88.66,88.66,"14,58,25,000","8,18,49,30,000",,,1.947727727
"May 11, 2017",89.77,102.55,88.48,89.88,"13,27,22,000","8,21,35,70,000",,,1.953663064
"May 10, 2017",91.15,92.85,85.29,89.52,"14,56,02,000","8,33,71,80,000",,,1.951920074
"May 09, 2017",91.23,93.06,80.39,91.16,"36,34,34,000","8,34,14,90,000",,,1.959804317
